time,ask,bid,ticker
1614020725079000000,317.802,317.608,GS
1614020725129000000,317.78200000000004,317.608,GS
1614020727076000000,317.783,317.637,GS
1614020727176000000,317.78200000000004,317.608,GS
1614020728104000000,317.783,317.637,GS
1614020728230000000,317.78200000000004,317.608,GS
1614020730187000000,317.78200000000004,317.668,GS
1614020735643000000,317.743,317.66700000000003,GS
1614020738317000000,317.693,317.66700000000003,GS
1614020738367000000,317.693,317.637,GS
1614020738687000000,317.742,317.638,GS
1614020739069000000,317.683,317.637,GS
1614020739119000000,317.663,317.607,GS
1614020739226000000,317.712,317.608,GS
1614020740231000000,317.743,317.607,GS
1614020740650000000,317.753,317.607,GS
1614020741063000000,20.873,20.857,AAL
1614020743263000000,317.733,317.607,GS
1614020744189000000,317.672,317.608,GS
1614020744730000000,317.632,317.438,GS
1614020745152000000,317.633,317.46700000000004,GS
1614020746705000000,317.632,317.398,GS
1614020746777000000,317.633,317.497,GS
1614020752601000000,317.612,317.498,GS
1614020752898000000,20.863000000000003,20.847,AAL
1614020754271000000,317.612,317.578,GS
1614020754322000000,317.663,317.497,GS
1614020754372000000,317.663,317.557,GS
1614020754983000000,20.873,20.857,AAL
1614020762526000000,317.732,317.558,GS
1614020764038000000,317.642,317.558,GS
1614020764089000000,317.803,317.557,GS
1614020764714000000,317.793,317.557,GS
1614020764992000000,317.803,317.557,GS
1614020765184000000,317.72200000000004,317.558,GS
1614020765765000000,317.803,317.557,GS
1614020765815000000,317.672,317.558,GS
1614020765984000000,317.682,317.558,GS
1614020768053000000,317.672,317.558,GS
1614020768153000000,317.682,317.558,GS
1614020768281000000,317.672,317.558,GS
1614020768439000000,317.683,317.557,GS
1614020769352000000,317.612,317.558,GS
1614020769403000000,317.612,317.498,GS
1614020769428000000,20.872,20.848000000000003,AAL
1614020769890000000,20.873,20.857,AAL
1614020769991000000,20.873,20.847,AAL
1614020770041000000,20.862,20.848000000000003,AAL
1614020772600000000,317.66200000000003,317.498,GS
1614020772769000000,317.623,317.497,GS
1614020774418000000,20.873,20.857,AAL
1614020775727000000,317.622,317.588,GS
1614020775777000000,317.683,317.40700000000004,GS
1614020775903000000,317.673,317.47700000000003,GS
1614020779277000000,317.682,317.478,GS
1614020780837000000,317.673,317.47700000000003,GS
1614020781003000000,317.682,317.478,GS
1614020781589000000,317.672,317.478,GS
1614020782321000000,317.682,317.478,GS
1614020782668000000,317.673,317.47700000000003,GS
1614020782863000000,317.683,317.47700000000003,GS
1614020783879000000,317.733,317.40700000000004,GS
1614020783938000000,317.733,317.497,GS
1614020785398000000,317.683,317.497,GS
1614020787321000000,20.883000000000003,20.867,AAL
1614020788114000000,20.892,20.878000000000004,AAL
1614020791385000000,317.682,317.608,GS
1614020791436000000,317.683,317.46700000000004,GS
1614020792367000000,317.682,317.508,GS
1614020797141000000,317.613,317.387,GS
1614020797302000000,317.672,317.388,GS
1614020797738000000,317.673,317.497,GS
1614020799062000000,317.593,317.497,GS
1614020799163000000,317.672,317.498,GS
1614020800950000000,317.672,317.578,GS
1614020801000000000,317.683,317.497,GS
1614020801243000000,317.743,317.497,GS
1614020801977000000,317.72200000000004,317.498,GS
1614020805476000000,317.66200000000003,317.498,GS
1614020806390000000,317.713,317.497,GS
1614020808059000000,317.66200000000003,317.498,GS
1614020808159000000,20.883000000000003,20.867,AAL
1614020808209000000,20.893,20.867,AAL
1614020808310000000,20.882,20.868,AAL
1614020809363000000,317.713,317.497,GS
1614020810919000000,317.66200000000003,317.498,GS
1614020812078000000,317.803,317.497,GS
1614020812129000000,317.72200000000004,317.498,GS
1614020812236000000,20.892,20.868,AAL
1614020812337000000,20.883000000000003,20.867,AAL
1614020812618000000,20.893,20.867,AAL
1614020812670000000,20.882,20.868,AAL
1614020813159000000,20.893,20.867,AAL
1614020813220000000,20.882,20.868,AAL
1614020813750000000,20.892,20.878000000000004,AAL
1614020821053000000,317.72200000000004,317.508,GS
1614020825467000000,317.72200000000004,317.498,GS
1614020827816000000,317.723,317.507,GS
1614020829222000000,317.622,317.508,GS
1614020829273000000,317.623,317.497,GS
1614020829880000000,317.723,317.507,GS
1614020831034000000,317.723,317.497,GS
1614020834873000000,317.652,317.498,GS
1614020835160000000,317.803,317.497,GS
1614020835210000000,317.702,317.498,GS
1614020836368000000,317.60200000000003,317.498,GS
1614020836418000000,317.653,317.497,GS
1614020837405000000,317.803,317.497,GS
1614020837460000000,317.702,317.498,GS
1614020840478000000,317.653,317.497,GS
1614020840675000000,317.702,317.498,GS
1614020842514000000,317.652,317.498,GS
1614020843384000000,317.803,317.497,GS
1614020843435000000,317.703,317.497,GS
1614020844104000000,317.653,317.497,GS
1614020844383000000,317.703,317.497,GS
1614020845851000000,317.653,317.497,GS
1614020846931000000,317.803,317.497,GS
1614020846982000000,317.702,317.498,GS
1614020848075000000,317.60200000000003,317.498,GS
1614020851096000000,317.618,317.568,GS
1614020851146000000,317.713,317.507,GS
1614020851211000000,317.712,317.518,GS
1614020851869000000,317.713,317.607,GS
1614020851920000000,317.713,317.577,GS
1614020851995000000,317.712,317.638,GS
1614020852045000000,317.803,317.587,GS
1614020853091000000,317.803,317.577,GS
1614020855956000000,317.802,317.638,GS
1614020856468000000,317.732,317.638,GS
1614020857056000000,20.903,20.877,AAL
1614020857162000000,20.892,20.878000000000004,AAL
1614020857299000000,20.902,20.878000000000004,AAL
1614020857673000000,20.893,20.877,AAL
1614020857724000000,20.903,20.877,AAL
1614020858351000000,20.892,20.878000000000004,AAL
1614020859739000000,20.902,20.878000000000004,AAL
1614020859790000000,20.902,20.888,AAL
1614020860447000000,317.932,317.578,GS
1614020860497000000,317.883,317.577,GS
1614020861159000000,317.933,317.577,GS
1614020861343000000,317.813,317.577,GS
1614020861707000000,317.813,317.53700000000003,GS
1614020863437000000,317.732,317.538,GS
1614020863488000000,317.803,317.53700000000003,GS
1614020866622000000,317.763,317.53700000000003,GS
1614020868003000000,317.802,317.538,GS
1614020868293000000,317.762,317.538,GS
1614020868699000000,317.803,317.53700000000003,GS
1614020869024000000,317.813,317.53700000000003,GS
1614020869140000000,317.763,317.53700000000003,GS
1614020869554000000,317.763,317.567,GS
1614020871454000000,317.802,317.428,GS
1614020871504000000,317.802,317.508,GS
1614020871910000000,317.762,317.508,GS
1614020873207000000,20.902,20.878000000000004,AAL
1614020873704000000,20.902,20.888,AAL
1614020873813000000,317.763,317.527,GS
1614020880104000000,317.703,317.527,GS
1614020880443000000,317.753,317.527,GS
1614020882391000000,20.893,20.877,AAL
1614020884491000000,317.692,317.528,GS
1614020885367000000,20.902,20.878000000000004,AAL
1614020885417000000,20.902,20.888,AAL
1614020886909000000,317.693,317.41700000000003,GS
1614020886996000000,317.693,317.46700000000004,GS
1614020887689000000,317.693,317.41700000000003,GS
1614020887739000000,317.693,317.497,GS
1614020887873000000,317.693,317.507,GS
1614020888106000000,317.672,317.508,GS
1614020888423000000,317.72200000000004,317.508,GS
1614020889256000000,317.723,317.497,GS
1614020895718000000,317.723,317.547,GS
1614020895896000000,317.72200000000004,317.498,GS
1614020898623000000,317.683,317.497,GS
1614020899994000000,317.683,317.547,GS
1614020900045000000,317.732,317.548,GS
1614020900138000000,317.733,317.557,GS
1614020900238000000,317.733,317.547,GS
1614020900318000000,317.683,317.547,GS
1614020900619000000,317.802,317.548,GS
1614020900669000000,317.733,317.547,GS
1614020902074000000,317.692,317.548,GS
1614020902244000000,317.693,317.577,GS
1614020903106000000,317.723,317.577,GS
1614020904103000000,317.673,317.577,GS
1614020907349000000,317.642,317.578,GS
1614020907400000000,317.673,317.577,GS
1614020907668000000,317.663,317.577,GS
1614020907885000000,317.673,317.577,GS
1614020907935000000,317.66200000000003,317.578,GS
1614020908097000000,317.672,317.578,GS
1614020911593000000,317.743,317.577,GS
1614020911787000000,20.913000000000004,20.897,AAL
1614020919327000000,317.643,317.577,GS
1614020919378000000,317.79200000000003,317.578,GS
1614020919428000000,317.733,317.577,GS
1614020920898000000,317.672,317.578,GS
1614020920999000000,317.732,317.578,GS
1614020925582000000,20.912,20.888,AAL
1614020925632000000,20.903,20.887,AAL
1614020929575000000,20.893,20.877,AAL
1614020938460000000,317.732,317.618,GS
1614020938510000000,317.733,317.587,GS
1614020939573000000,317.732,317.578,GS
1614020942179000000,317.692,317.578,GS
1614020950224000000,317.622,317.578,GS
1614020950274000000,317.633,317.577,GS
1614020950950000000,317.693,317.577,GS
1614020951283000000,317.613,317.427,GS
1614020951334000000,317.673,317.427,GS
1614020951384000000,317.673,317.46700000000004,GS
1614020951720000000,20.883000000000003,20.867,AAL
1614020953077000000,317.673,317.427,GS
1614020953133000000,317.672,317.498,GS
1614020962007000000,20.872,20.858,AAL
1614020963800000000,317.603,317.497,GS
1614020963851000000,317.673,317.497,GS
1614020963931000000,317.59200000000004,317.498,GS
1614020963981000000,317.673,317.497,GS
1614020964032000000,317.673,317.377,GS
1614020964082000000,317.643,317.447,GS
1614020965455000000,317.563,317.447,GS
1614020965506000000,317.673,317.447,GS
1614020965588000000,317.642,317.448,GS
1614020966035000000,317.552,317.448,GS
1614020966085000000,317.643,317.447,GS
1614020966634000000,317.672,317.448,GS
1614020966684000000,317.632,317.448,GS
1614020967145000000,317.672,317.448,GS
1614020967217000000,317.612,317.448,GS
1614020967600000000,20.862,20.848000000000003,AAL
1614020968371000000,317.613,317.377,GS
1614020968624000000,317.673,317.377,GS
1614020968674000000,317.582,317.378,GS
1614020969042000000,317.552,317.378,GS
1614020969092000000,317.583,317.367,GS
1614020970210000000,317.582,317.378,GS
1614020970866000000,317.512,317.378,GS
1614020970916000000,317.582,317.308,GS
1614020971076000000,317.512,317.308,GS
1614020971127000000,317.583,317.307,GS
1614020972173000000,317.652,317.308,GS
1614020972264000000,317.572,317.308,GS
1614020973417000000,317.573,317.247,GS
1614020975432000000,317.573,317.28700000000003,GS
1614020978640000000,317.652,317.288,GS
1614020978690000000,317.553,317.28700000000003,GS
1614020983262000000,20.853,20.837,AAL
1614020983615000000,317.553,317.34700000000004,GS
1614020987297000000,317.543,317.34700000000004,GS
1614020989344000000,317.552,317.348,GS
1614020992134000000,317.553,317.447,GS
1614020992185000000,317.663,317.447,GS
1614020992333000000,317.673,317.447,GS
1614020992658000000,317.673,317.34700000000004,GS
1614020993095000000,317.622,317.348,GS
1614020994190000000,317.623,317.497,GS
1614020999065000000,20.852,20.828000000000003,AAL
1614020999115000000,20.843000000000004,20.827,AAL
1614020999449000000,20.852,20.828000000000003,AAL
1614020999502000000,20.853,20.837,AAL
1614021000265000000,317.623,317.34700000000004,GS
1614021002102000000,317.563,317.34700000000004,GS
1614021002837000000,317.613,317.34700000000004,GS
1614021004843000000,20.842,20.828000000000003,AAL
1614021005110000000,317.533,317.34700000000004,GS
1614021005260000000,317.613,317.377,GS
1614021005311000000,317.613,317.397,GS
1614021005417000000,20.853,20.837,AAL
1614021005732000000,317.673,317.517,GS
1614021006136000000,317.683,317.517,GS
1614021006787000000,317.673,317.517,GS
1614021009101000000,20.862,20.848000000000003,AAL
1614021010055000000,317.673,317.527,GS
1614021010775000000,317.643,317.527,GS
1614021011122000000,317.643,317.517,GS
1614021011205000000,317.672,317.518,GS
1614021011824000000,20.873,20.857,AAL
1614021016079000000,317.632,317.518,GS
1614021019696000000,317.673,317.517,GS
1614021019769000000,20.883000000000003,20.857,AAL
1614021019819000000,20.882,20.868,AAL
1614021022527000000,317.673,317.527,GS
1614021023604000000,317.673,317.517,GS
1614021029819000000,317.673,317.527,GS
1614021031647000000,317.682,317.528,GS
1614021031836000000,317.682,317.538,GS
1614021032124000000,317.682,317.568,GS
1614021032174000000,317.683,317.53700000000003,GS
1614021032892000000,317.682,317.588,GS
1614021032943000000,317.683,317.527,GS
1614021038925000000,317.802,317.528,GS
1614021041087000000,317.723,317.527,GS
1614021043186000000,317.723,317.587,GS
1614021043236000000,317.802,317.628,GS
1614021048663000000,317.803,317.65700000000004,GS
1614021048877000000,317.803,317.627,GS
